;Job Title;min_salary;max_salary;Rating;Company Name;python;excel;hadoop;spark;aws;tableau;big_data
641;Sr. ML/Data Scientist - AI/NLP/Chatbot;105;167;3.8;Juniper Networks;1;1;0;1;1;0;0
642;Data Scientist;105;167;2.7;Hexagon US Federal;0;1;0;0;1;0;0
643;Data Scientist;105;167;4.0;Comtech Global Inc;1;0;1;1;1;1;0
644;Data Scientist;105;167;0.0;Berico Technologies;0;1;0;0;1;0;0
645;Data Scientist;105;167;0.0;Kehe Food Distributors;1;1;1;1;1;1;1
646;Data Scientist;105;167;3.8;Aveshka, Inc.;1;1;0;1;0;0;1
647;Data Scientist;105;167;3.2;Perspecta;1;0;1;0;0;0;1
648;Data Scientist;105;167;0.0;Pactera Edge;1;0;0;0;0;0;0
649;Data Scientist;105;167;3.6;Qurate Retail Group;1;1;0;0;0;1;0
650;Data Scientist;105;167;4.4;SolutionIT, Inc.;0;0;0;0;0;0;0
651;Data Scientist;105;167;4.1;A-Line Staffing Solutions;1;0;1;1;0;0;1
652;Data Scientist;105;167;0.0;Clear Ridge Defense;1;0;1;0;0;0;0
653;Data Scientist;105;167;3.8;Criterion Systems, Inc.;1;1;0;0;0;0;0
654;Data Scientist;105;167;4.0;Foundation Medicine;1;0;0;0;0;0;0
655;Data Scientist;105;167;3.6;TRANZACT;1;1;1;0;0;1;1
656;Data Scientist;105;167;0.0;JKGT;0;0;0;0;0;0;0
657;Data Scientist;105;167;0.0;AccessHope;1;1;1;0;0;1;0
658;Data Scientist;105;167;5.0;ChaTeck Incorporated;1;0;1;1;0;0;1
659;Data Scientist;105;167;2.7;1-800-Flowers;1;1;0;0;0;1;0
